Time,Current,Speed
0.0000,0.024000,0.000000
0.0010,0.047952,0.000120
0.0020,0.071856,0.000360
0.0030,0.095712,0.000719
0.0040,0.119521,0.001197
0.0050,0.143282,0.001795
0.0060,0.166995,0.002511
0.0070,0.190661,0.003346
0.0080,0.214279,0.004299
0.0090,0.237850,0.005370
0.0100,0.261374,0.006559
0.0110,0.284850,0.007865
0.0120,0.308280,0.009288
0.0130,0.331662,0.010829
0.0140,0.354998,0.012486
0.0150,0.378287,0.014260
0.0160,0.401529,0.016150
0.0170,0.424724,0.018156
0.0180,0.447873,0.020278
0.0190,0.470975,0.022515
0.0200,0.494031,0.024867
0.0210,0.517040,0.027335
0.0220,0.540004,0.029918
0.0230,0.562921,0.032615
0.0240,0.585791,0.035426
0.0250,0.608616,0.038351
0.0260,0.631395,0.041391
0.0270,0.654128,0.044543
0.0280,0.676816,0.047810
0.0290,0.699457,0.051189
0.0300,0.722053,0.054681
0.0310,0.744604,0.058286
0.0320,0.767109,0.062003
0.0330,0.789568,0.065832
0.0340,0.811982,0.069774
0.0350,0.834351,0.073827
0.0360,0.856675,0.077991
0.0370,0.878954,0.082267
0.0380,0.901188,0.086653
0.0390,0.923377,0.091150
0.0400,0.945521,0.095758
0.0410,0.967621,0.100476
0.0420,0.989675,0.105304
0.0430,1.011685,0.110242
0.0440,1.033651,0.115290
0.0450,1.055572,0.120446
0.0460,1.077449,0.125712
0.0470,1.099281,0.131087
0.0480,1.121070,0.136570
0.0490,1.142814,0.142162
0.0500,1.164514,0.147862
0.0510,1.186170,0.153669
0.0520,1.207783,0.159585
0.0530,1.229351,0.165608
0.0540,1.250876,0.171738
0.0550,1.272357,0.177975
0.0560,1.293794,0.184319
0.0570,1.315188,0.190770
0.0580,1.336539,0.197327
0.0590,1.357846,0.203990
0.0600,1.379110,0.210758
0.0610,1.400331,0.217633
0.0620,1.421508,0.224613
0.0630,1.442643,0.231698
0.0640,1.463734,0.238888
0.0650,1.484783,0.246183
0.0660,1.505789,0.253582
0.0670,1.526752,0.261086
0.0680,1.547672,0.268693
0.0690,1.568550,0.276405
0.0700,1.589385,0.284220
0.0710,1.610178,0.292138
0.0720,1.630929,0.300160
0.0730,1.651637,0.308285
0.0740,1.672303,0.316512
0.0750,1.692926,0.324842
0.0760,1.713508,0.333274
0.0770,1.734048,0.341808
0.0780,1.754545,0.350444
0.0790,1.775001,0.359182
0.0800,1.795415,0.368021
0.0810,1.815788,0.376961
0.0820,1.836118,0.386003
0.0830,1.856408,0.395145
0.0840,1.876655,0.404387
0.0850,1.896862,0.413730
0.0860,1.917026,0.423173
0.0870,1.937150,0.432716
0.0880,1.957232,0.442358
0.0890,1.977274,0.452100
0.0900,1.997274,0.461941
0.0910,2.017233,0.471881
0.0920,2.037152,0.481920
0.0930,2.057029,0.492058
0.0940,2.076866,0.502294
0.0950,2.096662,0.512628
0.0960,2.116417,0.523060
0.0970,2.136132,0.533590
0.0980,2.155807,0.544217
0.0990,2.175441,0.554942
0.1000,2.195034,0.565763
0.1010,2.214588,0.576682
0.1020,2.234101,0.587697
0.1030,2.253574,0.598809
0.1040,2.273007,0.610017
0.1050,2.292400,0.621321
0.1060,2.311753,0.632721
0.1070,2.331066,0.644216
0.1080,2.350339,0.655807
0.1090,2.369573,0.667493
0.1100,2.388767,0.679275
0.1110,2.407922,0.691150
0.1120,2.427037,0.703121
0.1130,2.446112,0.715186
0.1140,2.465149,0.727345
0.1150,2.484146,0.739598
0.1160,2.503103,0.751945
0.1170,2.522022,0.764385
0.1180,2.540902,0.776919
0.1190,2.559742,0.789545
0.1200,2.578544,0.802265
0.1210,2.597306,0.815078
0.1220,2.616030,0.827983
0.1230,2.634715,0.840980
0.1240,2.653362,0.854070
0.1250,2.671970,0.867251
