Time,ActualSpeed,Error,PIDOutput
0.00,10.000000,50.000000,100.000000
0.10,17.800000,40.000000,88.000000
0.20,24.124000,32.200000,81.040000
0.30,29.215920,25.876000,75.043200
0.40,33.319154,20.784080,70.248256
0.50,36.623903,16.680846,66.366644
0.60,39.284597,13.376097,63.230850
0.70,41.425797,10.715403,60.696596
0.80,43.148071,8.574203,58.648531
0.90,44.532593,6.851929,56.993297
1.00,45.644882,5.467407,55.655484
1.10,46.537810,4.355118,54.574163
1.20,47.254040,3.462190,53.700106
1.30,47.827990,2.745960,52.993537
1.40,48.287423,2.172010,52.422320
1.50,48.654729,1.712577,51.960486
1.60,48.947961,1.345271,51.587054
1.70,49.181672,1.052039,51.285071
1.80,49.367589,0.818328,51.040836
1.90,49.515158,0.632411,50.843280
2.00,49.631988,0.484842,50.683457
2.10,49.724203,0.368012,50.554139
2.20,49.796731,0.275797,50.449483
2.30,49.853535,0.203269,50.364768
2.40,49.897799,0.146465,50.296178
2.50,49.932082,0.102201,50.240629
2.60,49.958437,0.067918,50.195628
2.70,49.978509,0.041563,50.159160
2.80,49.993618,0.021491,50.129596
2.90,50.004818,0.006382,50.105618
3.00,50.012952,-0.004818,50.086163
3.10,50.018694,-0.012952,50.070369
3.20,50.022578,-0.018694,50.057540
3.30,50.025032,-0.022578,50.047112
3.40,50.026392,-0.025032,50.038630
3.50,50.026925,-0.026392,50.031726
3.60,50.026843,-0.026925,50.026100
3.70,50.026310,-0.026843,50.021513
3.80,50.025455,-0.026310,50.017767
3.90,50.024380,-0.025455,50.014706
4.00,50.023162,-0.024380,50.012200
4.10,50.021861,-0.023162,50.010147
4.20,50.020521,-0.021861,50.008461
4.30,50.019176,-0.020521,50.007076
4.40,50.017852,-0.019176,50.005934
4.50,50.016566,-0.017852,50.004992
4.60,50.015331,-0.016566,50.004212
4.70,50.014154,-0.015331,50.003566
4.80,50.013042,-0.014154,50.003029
4.90,50.011996,-0.013042,50.002582
5.00,50.011017,-0.011996,50.002208
