Time,Setpoint,ActualSpeed,MeasuredSpeed,DutyCycle,MotorVoltage,Current,EncoderPulses
0.00,50.000000,0.000000,0.000000,100.000000,12.000000,0.000000,0
0.10,50.000000,0.554942,0.000000,55.000000,6.600000,2.175441,0
0.20,50.000000,1.834275,1.256637,53.667257,6.440071,2.967520,2
0.30,50.000000,3.447685,2.513274,54.784956,6.574195,3.573644,4
0.40,50.000000,5.320830,4.398230,53.923452,6.470814,4.078249,7
0.50,50.000000,7.393766,6.283185,54.224337,6.506920,4.454576,10
0.60,50.000000,9.612655,8.168141,54.430975,6.531717,4.749661,13
0.70,50.000000,11.938554,11.309734,50.710621,6.085275,4.975054,18
0.80,50.000000,14.316932,13.194689,53.179205,6.381505,5.057155,21
0.90,50.000000,16.716882,15.079645,53.040267,6.364832,5.156437,24
1.00,50.000000,19.131416,18.221237,48.974339,5.876921,5.212826,29
1.10,50.000000,21.519222,20.106193,51.097348,6.131682,5.148635,32
1.20,50.000000,23.860602,22.619467,48.696463,5.843576,5.120881,36
1.30,50.000000,26.147450,25.132741,47.426552,5.691186,5.024878,40
1.40,50.000000,28.355936,27.646015,46.030977,5.523717,4.898252,44
1.50,50.000000,30.472516,28.902652,48.342481,5.801098,4.744598,46
1.60,50.000000,32.506701,31.415927,44.245137,5.309416,4.650353,50
1.70,50.000000,34.450723,33.929201,42.535403,5.104248,4.465931,54
1.80,50.000000,36.278276,35.185838,44.532748,5.343930,4.260644,56
1.90,50.000000,38.001951,37.070793,42.037616,5.044514,4.120016,59
2.00,50.000000,39.627246,38.955749,40.704873,4.884585,3.935384,62
2.10,50.000000,41.141975,40.212386,41.194253,4.943310,3.741000,64
2.20,50.000000,42.553208,42.097342,38.447793,4.613735,3.579290,67
2.30,50.000000,43.858988,43.353979,38.780095,4.653611,3.374797,69
2.40,50.000000,45.058404,44.610616,37.792927,4.535151,3.203301,71
2.50,50.000000,46.160313,45.238934,38.659299,4.639116,3.031000,72
2.60,50.000000,47.175835,46.495571,36.321246,4.358549,2.899244,74
2.70,50.000000,48.106527,47.752208,35.176998,4.221240,2.731657,76
2.80,50.000000,48.943898,49.008845,33.969919,4.076390,2.561553,78
2.90,50.000000,49.687608,49.008845,36.532751,4.383930,2.388869,78
3.00,50.000000,50.358561,50.265482,32.749566,3.929948,2.296936,80
3.10,50.000000,50.958844,50.265482,35.249566,4.229948,2.133531,80
3.20,50.000000,51.491964,51.522120,31.403548,3.768426,2.049098,82
3.30,50.000000,51.959136,51.522120,33.840717,4.060886,1.891692,82
3.40,50.000000,52.363133,52.150438,31.848239,3.821789,1.811992,83
3.50,50.000000,52.715184,52.778757,31.080983,3.729718,1.699936,84
3.60,50.000000,53.008137,52.778757,32.198682,3.863842,1.588588,84
3.70,50.000000,53.253494,53.407075,30.143373,3.617205,1.519356,85
3.80,50.000000,53.453222,52.778757,33.146027,3.977523,1.415910,84
3.90,50.000000,53.620520,54.035394,27.917709,3.350125,1.394976,86
4.00,50.000000,53.747315,53.407075,32.145585,3.857470,1.262639,85
4.10,50.000000,53.836347,54.035394,28.802223,3.456267,1.245429,86
4.20,50.000000,53.897975,54.035394,29.857090,3.582851,1.157844,86
4.30,50.000000,53.925208,53.407075,31.571692,3.788603,1.108732,85
4.40,50.000000,53.939478,54.035394,28.228330,3.387400,1.105691,86
4.50,50.000000,53.933648,54.035394,29.283197,3.513984,1.030346,86
4.60,50.000000,53.899770,54.035394,29.081428,3.489771,0.991836,86
4.70,50.000000,53.847823,54.035394,28.879658,3.465559,0.956312,86
4.80,50.000000,53.779375,53.407075,30.594260,3.671311,0.923389,85
4.90,50.000000,53.706436,54.035394,27.250898,3.270108,0.934429,86
5.00,50.000000,53.620815,53.407075,30.222136,3.626656,0.871366,85
5.10,50.000000,53.524297,53.407075,28.795146,3.455417,0.885291,85
5.20,50.000000,53.427321,54.035394,26.708420,3.205010,0.866487,86
5.30,50.000000,53.311475,52.778757,31.596031,3.791524,0.806614,84
5.40,50.000000,53.197175,53.407075,27.027447,3.243294,0.865106,85
5.50,50.000000,53.085297,53.407075,28.113731,3.373648,0.814503,85
5.60,50.000000,52.958001,52.778757,29.859748,3.583170,0.797830,84
5.70,50.000000,52.834437,52.778757,28.464173,3.415701,0.823350,84
5.80,50.000000,52.716150,52.778757,28.325236,3.399028,0.814940,84
5.90,50.000000,52.594749,52.778757,28.186298,3.382356,0.806117,84
6.00,50.000000,52.470086,52.778757,28.047360,3.365683,0.796987,84
6.10,50.000000,52.342064,52.150438,29.824794,3.578975,0.787635,83
6.20,50.000000,52.221257,52.150438,28.460635,3.415276,0.819821,83
6.30,50.000000,52.108873,52.150438,28.353113,3.402374,0.817511,83
6.40,50.000000,51.996228,52.150438,28.245591,3.389471,0.814299,83
6.50,50.000000,51.882919,52.150438,28.138069,3.376568,0.810354,83
6.60,50.000000,51.768623,51.522120,29.946919,3.593630,0.805816,82
6.70,50.000000,51.663720,52.150438,26.697804,3.203736,0.842492,83
6.80,50.000000,51.558609,51.522120,29.763291,3.571595,0.802698,82
6.90,50.000000,51.453854,51.522120,28.430548,3.411666,0.837846,82
7.00,50.000000,51.358836,51.522120,28.354442,3.402533,0.838493,82
7.10,50.000000,51.264852,50.893801,30.194707,3.623365,0.838222,81
7.20,50.000000,51.182109,51.522120,26.977009,3.237241,0.878882,82
7.30,50.000000,51.100858,50.893801,30.073911,3.608869,0.842824,81
7.40,50.000000,51.021530,50.893801,28.772584,3.452710,0.881490,81
7.50,50.000000,50.953387,51.522120,26.811523,3.217383,0.885463,82
7.60,50.000000,50.876988,50.893801,29.908425,3.589011,0.846660,81
7.70,50.000000,50.801215,50.893801,28.607098,3.432852,0.883040,81
7.80,50.000000,50.735553,50.265482,30.478779,3.657454,0.885116,80
7.90,50.000000,50.682018,50.893801,27.292497,3.275100,0.928119,81
8.00,50.000000,50.630848,50.893801,28.504444,3.420533,0.894394,81
8.10,50.000000,50.571824,50.265482,30.376125,3.645135,0.893688,80
8.20,50.000000,50.523591,50.893801,27.189843,3.262781,0.934361,81
8.30,50.000000,50.476608,50.265482,30.318161,3.638179,0.898686,80
8.40,50.000000,50.431474,50.265482,29.048250,3.485790,0.938039,80
8.50,50.000000,50.397591,50.893801,27.118604,3.254233,0.942948,81
8.60,50.000000,50.355627,50.265482,30.246923,3.629631,0.905283,80
8.70,50.000000,50.314555,50.265482,28.977012,3.477241,0.942966,80
8.80,50.000000,50.283931,50.265482,28.963737,3.475648,0.946475,80
8.90,50.000000,50.255191,50.265482,28.950463,3.474056,0.949327,80
9.00,50.000000,50.228015,50.265482,28.937189,3.472463,0.951626,80
9.10,50.000000,50.202135,50.265482,28.923915,3.470870,0.953459,80
9.20,50.000000,50.177325,50.265482,28.910641,3.469277,0.954900,80
9.30,50.000000,50.153395,50.265482,28.897367,3.467684,0.956011,80
9.40,50.000000,50.130186,49.637164,30.800464,3.696056,0.956846,79
9.50,50.000000,50.118199,50.265482,27.645597,3.317472,0.999137,80
9.60,50.000000,50.107920,50.265482,28.888960,3.466675,0.965140,80
9.70,50.000000,50.089338,50.265482,28.875686,3.465082,0.964525,80
9.80,50.000000,50.070632,49.637164,30.778784,3.693454,0.963903,79
9.90,50.000000,50.062437,50.265482,27.623917,3.314870,1.004964,80
10.00,50.000000,50.055348,50.265482,28.867280,3.464074,0.969928,80
